"listing__rating-model","item","item 2","item 3","item 4","ellipsize","listing__excerpt","listing__price"
"Toyota Fortuner","95 - 100K KM","Automatic","Banten","Broker","2017 Toyota Fortuner 2.7 SRZ 4X2 SUV - mobil mewah gagah  ...","Toyota Fortuner 2.7 SRZ AT 2017 Odo (106rb) Attitude Black Mica Service Record Toyota ✅️ ...","Rp 283.000.000"
"BMW 320i","30 - 35K KM","Automatic","Banten","Sales Agent","2022 BMW 320i 2.0 Sport Sedan","Certified Used Car By Astra BMW 320i sport · 2022 31rb km · Mineral Grey on Black · Plat ...","Rp 619.000.000"
"Toyota Rush","10 - 15K KM","Automatic","Banten","Sales Agent","2024 Toyota Rush 1.5 GR Sport SUV - Flash Sale","𝙹𝚊𝚖𝚒𝚗𝚊𝚗 𝙼𝚘𝚋𝚒𝚕 𝙱𝚎𝚔𝚊𝚜 𝙱𝚎𝚛𝚔𝚞𝚊𝚕𝚒𝚝𝚊𝚜 𝗖𝗲𝗸 𝘂𝗻𝗶𝘁 𝗱𝗮𝗵𝘂𝗹𝘂, 𝘁𝗶𝗱𝗮𝗸 𝗽𝗲𝗿𝗹𝘂 𝗯𝗮𝘆𝗮𝗿 𝗮𝗽𝗮-𝗮𝗽𝗮‼️ 𝙏𝙤𝙮𝙤𝙩𝙖 𝙍𝙪𝙨𝙝 ...","Rp 260.000.000"
"","5 - 10K KM","Automatic","DKI Jakarta","Sales Agent","2025 BMW 430i 2.0 M Sport Pro Coupe","Certified Used Car By Astra BMW 430 M- Sport Pro · 2025 5b km · Black Sapphire on Tartufo ...","Rp 1.599.000.000"
"Honda BR-V","45 - 50K KM","Automatic","Banten","Sales Agent","2022 Honda BR-V 1.5 Prestige SUV - Non Sensing","Honda BR-V Prestige (Non Sensing) 2022 Km 50rb on going | Automatic Pajak 08/2027 Harga ...","Rp 205.000.000"
"Toyota Camry","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2021 Toyota Camry 2.5 V Sedan","Toyota Camry V 2.5 Bensin Km 43rb Servis record A/n Pribadi Pajak panjang 04-2027 Sudah ...","Rp 309.000.000"
"Daihatsu Ayla","85 - 90K KM","Manual","Jawa Timur","Dealer","2020 Daihatsu Ayla 1.0 X Hatchback","DIJUAL‼️ AYLA X MANUAL 2020 • KM 89rb • Mesin kering & transmisi sehat • AC dingin, kaki2 ...","Rp 90.000.000"
"BMW 320i","10 - 15K KM","Automatic","Banten","Dealer","2024 BMW 320i 2.0 M Sport Sedan","BMW 320i Msport •NIK 2024 •Warna Brooklyn Grey (Super Menarik‼️) •KM 17 ribuan (Bukan ...",""
"Daihatsu Xenia","120 - 125K KM","Manual","Jawa Timur","Dealer","2012 Daihatsu Xenia 1.3 R MPV","📌 DIJUAL CEPAT! MOBIL SIAP PAKAI, HARGA MURAH! 🔥 HARGA TERTERA ADALAH HARGA PAKET KREDIT ...",""
"","45 - 50K KM","Automatic","DKI Jakarta","Sales Agent","2023 Toyota Yaris Cross 1.5 S HV with GR Parts Aero Pkg (P...","Yaris Cross S HV GR Sport TSS 1.5 Km 45rb On Going Pajak On Kunci cadangan lengkap Buku ...","Rp 341.000.000"
"","60 - 65K KM","Automatic","Bali","Dealer","2023 Hyundai Staria 2.2 Signature 9 MPV","Hyundai Staria 2024 Diesel matic Km 66rb Mobil rawatan history servise lengkap B Ganjil ...","Rp 545.000.000"
"Mercedes-Benz C200","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2018 Mercedes-Benz C200 2.0 Avantgarde Sedan","Mercedes benz c200 avantgarde Odo 13rb NIK 2018 A/n Perorangan pajak panjang B Ganjil ...","Rp 319.000.000"
"Chevrolet Captiva","155 - 160K KM","Automatic","DKI Jakarta","Dealer","2013 Chevrolet Captiva 2.0 SUV - LTZ VCDI Diesel","Chevrolet Captiva 2.0 LTZ Diesel FL2 2013 ​**Free Warranty Mesin dan Transmisi 1 Tahun ...","Rp 115.000.000"
"BMW X1","25 - 30K KM","Automatic","Jawa Timur","Sales Agent","2022 BMW X1 1.5 sDrive18i Dynamic SUV","MW Premium Selection Certified Used Car By Astra ——————————————————————- BMW X1 Dynamic ...","Rp 455.000.000"
"BMW X1","40 - 45K KM","Automatic","DKI Jakarta","Sales Agent","2021 BMW X1 1.5 sDrive18i xLine SUV","BMW Premium Selection Certified Used Car By Astra ——————————————————————- BMW X1 Xline ...","Rp 459.000.000"
"Mazda 6","60 - 65K KM","Automatic","Jawa Barat","Dealer","2017 Mazda 6 2.5 Sedan","MAZDA 6 SEDAN 2.5 AT 2017 regristrasi 2019✨ ✔️ Tangan Pertama / Siap Pakai ✔️ warna soul ...","Rp 255.000.000"
"Nissan Serena","90 - 95K KM","Automatic","DKI Jakarta","Dealer","2012 Nissan Serena 2.0 Comfort Touring MPV","🚗 Nissan Serena CT 2012 – Nyaman Keluarga, Siap Pakai! 💰 Harga: kredit : 99.000.000 ( ...","Rp 99.000.000"
"","10 - 15K KM","Automatic","Jawa Barat","Dealer","2023 KIA Sonet 1.5 Premiere SUV","🚗 KIA SONET 2023 – SUV Compact Premium, Stylish & Full Fitur 🚗 ✨ Tahun 2023 ✨ Mesin 1.5L ...","Rp 255.000.000"
"Honda Freed","135 - 140K KM","Automatic","DKI Jakarta","Dealer","2014 Honda Freed 1.5 E MPV","🚗 HONDA FREED SD 2014 – SIAP PAKAI! 💰 Harga: kredit : 135.000.000( khusus 4,5 th) cash : ...","Rp 140.000.000"
"Nissan X-Trail","95 - 100K KM","Automatic","DKI Jakarta","Dealer","2018 Nissan X-Trail 2.5 X-Tremer SUV","READY ✅️✅️✅️ : 💎 Nissan X-Trail 2.5 AT 2018 Hitam: SUV Premium Siap Libas Semua Medan! 💎 ...","Rp 205.000.000"
"","15 - 20K KM","Automatic","Banten","Dealer","2024 Toyota Yaris Cross 1.5 S HV with GR Parts Aero Pkg(Pr...","Toyota Yaris Cross 1.5 GR Hybrid AT 2024 KM Rendah • Full Original • Hybrid Irit & ...","Rp 335.000.000"
"Mazda CX-5","55 - 60K KM","Automatic","DKI Jakarta","Dealer","2023 Mazda CX-5 2.5 Kuro Edition SUV","READY ✅️✅️✅️ MAZDA CX 5 KURO 2.5 AT || GOOD CONDITION || MOBIL SIAP PAKAI || SIAP GENERAL ...","Rp 445.000.000"
"Toyota Kijang Innova","60 - 65K KM","Automatic","Banten","Dealer","2022 Toyota Kijang Innova 2.0 V MPV","Mobil keluarga indonesia🇵🇱🇵🇱🇵🇱 Toyota Kijang Innova Reborn V 2.0 2022 ✨Tangan pertama ...","Rp 340.000.000"
"Mazda CX-5","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2024 Mazda CX-5 2.5 Elite SUV","MAZDA CX-5 ELITE 2024🔥🔥 💰 Otr cash 450jt ( nego ) Otr credit 435jt 📅 Tahun: 2024 🚗 Tipe: ...","Rp 445.000.000"
"Mazda Biante","90 - 95K KM","Automatic","DKI Jakarta","Dealer","2017 Mazda Biante 2.0 SKYACTIV-G MPV","READY ✨ Mazda Biante Skyactive a.t 2017 - Nopol B genap - Th Pembuatan 2017 - Warna putih ...","Rp 178.000.000"
"Toyota Voxy","110 - 115K KM","Automatic","Jawa Barat","Dealer","2018 Toyota Voxy 2.0 MPV","TOYOTA VOXY 2.0 AT 2018 🔥Tangan pertama dari baru 🔥Odo meter full record 🔥Full set ...","Rp 260.000.000"
"Mercedes-Benz C200","50 - 55K KM","Automatic","DKI Jakarta","Dealer","2019 Mercedes-Benz C200 1.5 EQ Boost Avantgarde Line Sedan","READY ✨ MERCEDES-BENZ C200 2019🥰 🚗 Merk/Model: Mercedes-Benz C-Class matic C200 2019 🛻 ...","Rp 395.000.000"
"Mitsubishi Xpander","45 - 50K KM","Automatic","DKI Jakarta","Sales Agent","2019 Mitsubishi Xpander 1.5 Sport MPV - Flash Sale","𝙹𝚊𝚖𝚒𝚗𝚊𝚗 𝙼𝚘𝚋𝚒𝚕 𝙱𝚎𝚔𝚊𝚜 𝙱𝚎𝚛𝚔𝚞𝚊𝚕𝚒𝚝𝚊𝚜 𝗖𝗲𝗸 𝘂𝗻𝗶𝘁 𝗱𝗮𝗵𝘂𝗹𝘂, 𝘁𝗶𝗱𝗮𝗸 𝗽𝗲𝗿𝗹𝘂 𝗯𝗮𝘆𝗮𝗿 𝗮𝗽𝗮-𝗮𝗽𝗮‼️ 𝙈𝙞𝙩𝙨𝙪𝙗𝙞𝙨𝙝𝙞 ...","Rp 194.000.000"
"","45 - 50K KM","Automatic","DKI Jakarta","Sales Agent","2021 KIA Sonet 1.5 Premiere SUV - Flash Sale","𝙹𝚊𝚖𝚒𝚗𝚊𝚗 𝙼𝚘𝚋𝚒𝚕 𝙱𝚎𝚔𝚊𝚜 𝙱𝚎𝚛𝚔𝚞𝚊𝚕𝚒𝚝𝚊𝚜 𝗖𝗲𝗸 𝘂𝗻𝗶𝘁 𝗱𝗮𝗵𝘂𝗹𝘂, 𝘁𝗶𝗱𝗮𝗸 𝗽𝗲𝗿𝗹𝘂 𝗯𝗮𝘆𝗮𝗿 𝗮𝗽𝗮-𝗮𝗽𝗮‼️ 𝙆𝙄𝘼 𝙎𝙤𝙣𝙚𝙩 ...","Rp 209.000.000"
"Mitsubishi Xpander","50 - 55K KM","Automatic","Banten","Dealer","2022 Mitsubishi Xpander 1.5 Ultimate MPV","Mitsubishi Xpander Ultimate A/T 2022 - Tgn 1 dari Baru - A/n Perorangan - Km Low 51xxx - ...","Rp 225.000.000"
"Toyota Fortuner","25 - 30K KM","Automatic","DKI Jakarta","Dealer","2022 Toyota Fortuner 2.8 GR Sport 4X4 SUV","FORTUNER 2.8 GR 4X4 2022 TOTAL MODIF 140JT++ No. Pol: B Genap KM: 30 ribu Pajak: 02.27 ...","Rp 538.000.000"
"BMW 530i","25 - 30K KM","Automatic","DKI Jakarta","Sales Agent","2022 BMW 530i 2.0 M Sport Sedan","Certified Used Car By Astra BMW 530i Msport · 2022 27rb km · Black Sapphire on Black · ...","Rp 815.000.000"
"BMW 520i","15 - 20K KM","Automatic","Banten","Sales Agent","2023 BMW 520i 2.0 M Sport Sedan","Certified Used Car By Astra BMW 520i Msport · 2023 19b km · Phytonic Blue on Black · Plat ...","Rp 829.000.000"
"Hyundai H-1","60 - 65K KM","Automatic","DKI Jakarta","Dealer","2019 Hyundai H-1 2.5 Royale MPV - H1 tipe tertinggi","No.pol: B Genap Km: 60rb Pajak: 07.26 A/N: PT Mobil kondisi prima & siap pakai. ...","Rp 333.000.000"
"BMW X3","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2024 BMW X3 2.0 xDrive30i M Sport SUV","X3 Msport •NIK 2024 •Warna Carbon Black (Super Menarik) •KM 17ribu (Bukan Milles) •Plat ...","Rp 1.069.000.000"
"Nissan Elgrand","65 - 70K KM","Automatic","DKI Jakarta","Dealer","2011 Nissan Elgrand 3.5 Highway Star MPV","No.pol: B Genap Km: 70 ribu Pajak: 10.26 A/N: Perorangan Mobil kondisi prima & siap ...","Rp 177.000.000"
"Mercedes-Benz C250","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2014 Mercedes-Benz C250 1.8 Avantgarde AMG Sedan","mercedes benz c250 amg + 2014 Odo 38K Plat B Pajak Bulan 07.26 SHOWROOM DENGAN AFTER ...","Rp 270.000.000"
"BMW X5","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2024 BMW X5 3.0 xDrive40i M Sport SUV - BROOKLYN GREY","No. Pol: F Ganjil KM: 14 ribu Pajak: 02.27 Mobil kondisi prima & siap pakai. *Perhitungan ...","Rp 1.411.000.000"
"","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2021 Porsche Taycan 4S Performance Battery Plus Sedan - 0.0","2021 Porsche Taycan 4S _OPEN PRICE: IDR 2.350 M _ NIK 2021 Regis. 2022 KM 6216 Tax until ...","Rp 2.350.000.000"
"","15 - 20K KM","Automatic","DKI Jakarta","Dealer","2024 Chery Tiggo 8 1.6 Premium SUV - km 20 rb","Chery Tiggo 8 Premium 2024 Putih Tangan pertama Plat B genap Pajak panjang 11/2026 Km low ...",""
"BMW 330i","10 - 15K KM","Automatic","DKI Jakarta","Sales Agent","2024 BMW 330i 2.0 M Sport Pro Sedan","Certified Used Car By Astra BMW 330i Msport · 2024 11rb km ·Alphine White on Black · Plat ...","Rp 949.000.000"
"BMW 330i","20 - 25K KM","Automatic","DKI Jakarta","Sales Agent","2024 BMW 330i 2.0 M Sport Pro Sedan","Certified Used Car By Astra BMW 330i Msport · 2024 23b km · Black Sapphire on Black · ...","Rp 929.000.000"
"Toyota Fortuner","75 - 80K KM","Automatic","Jawa Barat","Dealer","2022 Toyota Fortuner 2.8 GR Sport 4X2 SUV","DIJUAL CEPAT Fortuner 2.8 4x2 GR Sport DSL Solar-AT-2022 ODO 78RB AN PAJAK APRIL 2027 ...","Rp 500.000.000"
"Daihatsu Ayla","50 - 55K KM","Automatic","Jawa Barat","Dealer","2023 Daihatsu Ayla 1.0 X Hatchback","DI JUAL CEPAT 2023 Daihatsu Ayla 1.0 X AT 2023 Hatchback ODO 50RB PAJAK FEBRUARI 2026 ...","Rp 139.000.000"
"BMW 320i","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2024 BMW 320i 2.0 M Sport Sedan - LCi G20 Like New Condition Record","[ B GENAP NTY ] BMW 320i 320 i M Sport LCi G20 AT Putih Metalik NIK 2024, PAJAK BULAN 9 ...","Rp 690.000.000"
"Toyota Sienta","40 - 45K KM","Automatic","Jawa Barat","Dealer","2018 Toyota Sienta 1.5 Q MPV","DI JUAL CEPAT 2018 Toyota Sienta 1.5 Q MPV ODO 40RB AN PAJAK PANJANG MEI 2027 F1482RI ...","Rp 190.000.000"
"Honda Brio","15 - 20K KM","Automatic","Jawa Barat","Dealer","2024 Honda Brio 1.2 Satya E Hatchback","DIJUAL CEPAT HONDA BRIO SATYA 1.2 E AT 2024 ODO 19RB AN PAJAK DESEMBER 2026 185.000.0000 ...","Rp 175.000.000"
"Subaru XV","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2023 Subaru XV 2.0 S-EyeSight SUV - AWD NIK 2022 Like New ...","[ B GANJIL HKI ] Subaru XV 2.0 i-S Eyesight AWD Sunroof AT Abu Pemakaian 2023 NIK 2022, ...","Rp 265.000.000"
"","15 - 20K KM","Automatic","DKI Jakarta","Dealer","2023 Chery Tiggo 8 Pro 2.0 Premium SUV - Ungu Like New Low...","[ F GANJIL ABA ] Chery Tiggo 8 Pro Premium 2.0 Panoramic AT Ungu NIK 2023, PAJAK BULAN 9 ...","Rp 270.000.000"
"Toyota Voxy","75 - 80K KM","Automatic","DKI Jakarta","Dealer","2018 Toyota Voxy 2.0 MPV","Voxy 2018 hitam Stnk hidup 04/27 Kilometer 78.508 HARGA TUNAI 260 JUTA Harga kredit 245 ...","Rp 245.000.000"
"Toyota Voxy","70 - 75K KM","Automatic","Banten","Broker","2021 Toyota Voxy 2.0 MPV - (pajak panjang)","Toyota Voxy 2.0 AT 2021 Low Odo (70rb) White Pearl Crystal Shine on Black Service Record ...","Rp 284.000.000"
"","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2017 Porsche 718 2.5 Cayman S Coupe","Porsche 718 Cayman S 2017 ​ ​Nik : 2017 (ATPM) ​odo : 13.xxx KM (Full Record) ​Exterior ...","Rp 2.100.000.000"
"","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2024 Hyundai Stargazer X 1.5 Style MPV","🔥 HYUNDAI STARGAZER X TOP 4x2 AT 2024 🔥 WHITE ON WHITE • KM RENDAH • KONDISI SUPER ...",""
"KIA Seltos","55 - 60K KM","Automatic","DKI Jakarta","Sales Agent","2021 KIA Seltos 1.4 EX+ SUV - EX - PROMO AKHIR BULAN","BISMILLAH !! °ＣＡＲＳＯＭＥ ＣＥＲＴＩＦＩＥＤ° 𝐁𝐎𝐎𝐊 𝐍𝐎𝐖, Sebelum Kehabisan...!!! ℙ𝕦𝕤𝕒𝕥 𝕁𝕦𝕒𝕝 𝔹𝕖𝕝𝕚 ...","Rp 258.000.000"
"Honda Accord","85 - 90K KM","Automatic","DKI Jakarta","Sales Agent","2022 Honda Accord 1.5 Sedan - PROMO WARRANTY 1 1 TAHUN MES...","Accord TC EL 1.5 AT Km 85rb On Going Pajak On Kunci cadangan lengkap Buku Service lengkap ...",""
"Mercedes-Benz GLA200","70 - 75K KM","Automatic","DKI Jakarta","Dealer","2015 Mercedes-Benz GLA200 1.6 Urban SUV","GOOD DEAL.!! MERCEDES-BENZ GLA 200 2015 PUTIH – ELEGAN, MEWAH, SIAP PAKAI 🔥 Nikmati ...",""
"BMW 218i","5 - 10K KM","Automatic","DKI Jakarta","Sales Agent","2025 BMW 218i 1.5 M Sport Coupe - . GAK NYANGKA INI SERI 2...","DIJUAL SEGERA! BMW 218i Msport •NIK 2025 (MASIH VERSI CBU) •Warna Alphine White •KM ...",""
"BMW 218i","20 - 25K KM","Automatic","Banten","Sales Agent","2023 BMW 218i 1.5 Gran Sport Coupe","BMW Premium Selection Certified Used Car By Astra ——————————————————————- BMW 218i Gran ...","Rp 570.000.000"
"Mercedes-Benz GLA200","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2019 Mercedes-Benz GLA200 1.6 AMG Line SUV - NIK 2018 Low ...","[ B GANJIL DEL ] [ SIPOL ] Mercedes Benz Mercy GLA200 GLA 200 AMG Line X156 CBU AT Coklat ...","Rp 330.000.000"
"Peugeot 5008","65 - 70K KM","Automatic","DKI Jakarta","Dealer","2020 Peugeot 5008 1.6 Allure Plus SUV - Low Km Record Gara...","[ B GANJIL SMQ ] Peugeot 5008 Allure AT Hitam Metalik NIK 2020, PAJAK BULAN 1 (2027), ...","Rp 295.000.000"
"","0 - 5K KM","Automatic","DKI Jakarta","Dealer","2022 Tesla Model Y Long Range SUV - 0.0 AWD Dual Motor Reg...","[ B GENAP WNQ ] Tesla Mode Y Long Range AWD Dual Motor AT Abu Metalik Pemakaian 2024 NIK ...","Rp 830.000.000"
"Suzuki Ertiga","25 - 30K KM","Automatic","DKI Jakarta","Sales Agent","2021 Suzuki Ertiga 1.5 Sport MPV - Flash Sale","𝙹𝚊𝚖𝚒𝚗𝚊𝚗 𝙼𝚘𝚋𝚒𝚕 𝙱𝚎𝚔𝚊𝚜 𝙱𝚎𝚛𝚔𝚞𝚊𝚕𝚒𝚝𝚊𝚜 𝗖𝗲𝗸 𝘂𝗻𝗶𝘁 𝗱𝗮𝗵𝘂𝗹𝘂, 𝘁𝗶𝗱𝗮𝗸 𝗽𝗲𝗿𝗹𝘂 𝗯𝗮𝘆𝗮𝗿 𝗮𝗽𝗮-𝗮𝗽𝗮‼️ 𝙎𝙪𝙯𝙪𝙠𝙞 ...","Rp 201.000.000"
"Mercedes-Benz CLA200","25 - 30K KM","Automatic","DKI Jakarta","Dealer","2019 Mercedes-Benz CLA200 1.3 AMG Line Coupe - Like New Re...","[ B GANJIL EON ] Mercedes Benz Mercy CLA200 CLA 200 AMG Line (C118) AT Kuning NIK 2019, ...","Rp 490.000.000"
"Mercedes-Benz S450L","35 - 40K KM","Automatic","DKI Jakarta","Dealer","2018 Mercedes-Benz S450L 3.0 Sedan - Low KM 40Rb Record   ...","[ B GENAP PBT ] Mercedes Benz Mercy S450 S 450 V222 CKD AT Black On Brown NIK 2018, PAJAK ...","Rp 725.000.000"
"Land Rover Range Rover","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2023 Land Rover Range Rover 3.0 P400 Autobiography MHEV LW...","|For Sale Range Rover Vogue 3.0 P400 LWB Autobiography 7-Seater • NIK 2023 • Odo 6.xxx KM ...",""
"","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2024 Subaru WRX 2.4 TS Eyesight Sedan - AWD Facelift NIK 2...","[ F GENAP ABJ ] Subaru WRX 2.4 TS Eyesight AWD Facelift AT Putih Pemakaian 2024 NIK 2023 ...","Rp 625.000.000"
"Hyundai H-1","75 - 80K KM","Automatic","DKI Jakarta","Dealer","2019 Hyundai H-1 2.5 Royale MPV - CRDi Diesel Km 73Rb Reco...","[ B GENAP SIR ] Hyundai H1 H 1 H-1 Royale 2.5 CRDI Diesel AT Abu Metalik NIK 2019, PAJAK ...","Rp 299.000.000"
"Ford Mustang","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2021 Ford Mustang 5.0 Mach 1 Fastback","|For Sale Ford Mustang 5.0 Mach 1 • NIK 2021 • Odo 4.xxx Miles Performance : • 5.0L ...","Rp 2.100.000.000"
"Toyota Fortuner","35 - 40K KM","Automatic","DKI Jakarta","Dealer","2024 Toyota Fortuner 2.8 GR Sport 4X4 (2 Tone) SUV - Diese...","[ B GENAP MMS ] Toyota Fortuner 2.8 VRZ GR Sport 4x4 Diesel Facelift AT Hitam NIK 2024, ...","Rp 560.000.000"
"","45 - 50K KM","Automatic","DKI Jakarta","Dealer","2017 Toyota FJ Cruiser 4.0 SUV","|For Sale Toyota FJ Cruiser 4.0 V6 4x4 AT • NIK 2017 • Odo 45.xxx KM • Tax Bln 12 ...","Rp 1.525.000.000"
"","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2019 Porsche 718 2.0 Cayman Coupe - PDK Sport Chrono","|For Sale Porsche 718 Cayman 2.0 PDK Sport Chrono • NIK 2019 • Odo 14.xxx KM Performance ...","Rp 1.850.000.000"
"","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2024 Mercedes-Benz GLS450 3.0 AMG Line 4MATIC SUV","|For Sale Mercedes-Benz GLS 450 4MATIC AMG Line Facelift • NIK 2024 • Odo 9.3xx Mls ...","Rp 2.300.000.000"
"Toyota Land Cruiser","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2023 Toyota Land Cruiser 3.3 300 GR-S SUV - Attitude Black...","|For Sale Toyota Land Cruiser 300 GR Sport 4x4 AT • NIK 2023 • Odo 22.xxx KM Performance ...","Rp 2.145.000.000"
"Peugeot RCZ","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2013 Peugeot RCZ 1.6 Coupe - White On Black Low Km Antik  ...","[ B GANJIL EAB ] Peugeot RCZ 1.6 AT White on Black NIK 2013 Antik KM13rb Record ...","Rp 340.000.000"
"Toyota Alphard","25 - 30K KM","Automatic","DKI Jakarta","Dealer","2023 Toyota Alphard 2.5 G (Premium Color) MPV","|For Sale Toyota Alphard 2.5 G CVT AH40 • NIK 2023 • Odo 29.xxx KM • Tax 11/2026 ...","Rp 1.185.000.000"
"","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2024 Subaru WRX 2.4 TS Eyesight Sedan - Facelift Like New ...","[ B GENAP PAK ] Subaru WRX 2.4 TS Eyesight AWD Facelift AT Putih NIK 2024, PAJAK BULAN 8 ...","Rp 645.000.000"
"","60 - 65K KM","Automatic","DKI Jakarta","Dealer","2022 Hyundai Staria 2.2 Signature 7 MPV - Diesel NIK 2021 ...","[ A GANJIL VIP ] Hyundai Staria 2.2L 2WD Signature 7 Seater Diesel AT Black On Brown ...","Rp 445.000.000"
"","35 - 40K KM","Automatic","DKI Jakarta","Dealer","2021 Nissan Leaf (1 Tone) Hatchback - 0.0 EV Electric Like...","[ B GENAP SPW ] Nissan Leaf EV Electric AT Biru NIK 2021, PAJAK BULAN 9 (2026), ODOMETER ...","Rp 205.000.000"
"","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2024 Toyota Kijang Innova Zenix 2.0 Q HV TSS Modellista (P...","[ BK GANJIL AFG ] Toyota Kijang Innova Zenix Q Hybrid 2.0 Modelista TSS Panoramic AT ...","Rp 455.000.000"
"","35 - 40K KM","Automatic","DKI Jakarta","Dealer","2023 Toyota Kijang Innova Zenix 2.0 Q HV TSS Modellista (P...","[ B GANJIL UIS ] Toyota Kijang Innova Zenix Q Hybrid 2.0 Modelista TSS 2 RSE Panoramic AT ...","Rp 450.000.000"
"Toyota Alphard","90 - 95K KM","Automatic","DKI Jakarta","Dealer","2013 Toyota Alphard 2.4 G MPV - ATPM","HARGA KHUSUS KREDIT TENOR 4 TAHUN TDP 70.000.000 Cicilan 6.140.000 x 47 Bulan Asuransi ...","Rp 220.000.000"
"","70 - 75K KM","Automatic","DKI Jakarta","Dealer","2022 Hyundai Palisade 2.2 Signature SUV - Black On Red Gar...","[ B GANJIL HFW ] Hyundai Palisade 2.2L Signature 2WD Diesel AT Black On Red NIK 2022, ...","Rp 510.000.000"
"","25 - 30K KM","Automatic","DKI Jakarta","Dealer","2023 Toyota Veloz 1.5 Q TSS (Non Premium Color) MPV - 2024...","DI JUAL CEPAT KM LOW 30 RIBU SERVICE RECORD ( TOYOTA ) + TOYOTA AVANZA VELOZ Q 1.5 AT ...","Rp 220.000.000"
"","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2022 Toyota BZ4X SUV - 0.0 EV AT","Toyota BZ4X EV AT 2022/2023 * NIK 2022, Pemakaian 2023 * Toyota Engine Full Electric * ...","Rp 550.000.000"
"Toyota Camry","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2018 Toyota Camry 2.5 V Sedan - AT KM 45RB","HARGA KHUSUS KREDIT TENOR 4 TAHUN TDP 35.000.000 Cicilan 6.030.000 x 47 Bulan Asuransi ...","Rp 220.000.000"
"Toyota Alphard","60 - 65K KM","Automatic","DKI Jakarta","Dealer","2014 Toyota Alphard 2.4 X MPV - WELCAB G 2015","DI JUAL CEPAT KM LOW 60 RIBU ASLI ( TOYOTA ) + TOYOTA ALPHARD X WELCAB 2.4 AT PUTIH + TH ...","Rp 308.000.000"
"Toyota Rush","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2024 Toyota Rush 1.5 GR Sport SUV - AT KM 17RB","HARGA KHUSUS KREDIT TENOR 4 TAHUN TDP 45.000.000 Cicilan 6.920.000 x 47 Bulan Asuransi ...","Rp 250.000.000"
"Toyota Camry","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2022 Toyota Camry 2.5 V Sedan - AT","HARGA KHUSUS KREDIT TENOR 4 TAHUN TDP 65.000.000 Cicilan 9.895.000 x 47 Bulan Asuransi ...","Rp 380.000.000"
"Hyundai H-1","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2015 Hyundai H-1 2.5 XG Next Generation MPV - KM 10RB Roya...","DI JUAL GOOD CONDITION KM 14 RB ANTIK SERVICE RECORD + HYUNDAI H-1 XG 2.5 AT SOLAR + TH ...","Rp 233.000.000"
"Lexus RX 270","90 - 95K KM","Automatic","DKI Jakarta","Dealer","2013 Lexus RX 270 2.7 SUV - HK AT","HARGA KHUSUS KREDIT TENOR 4 TAHUN TDP 50.000.000 Cicilan 6.845.000 x 47 Bulan Asuransi ...","Rp 220.000.000"
"Toyota Kijang Innova","60 - 65K KM","Automatic","DKI Jakarta","Dealer","2022 Toyota Kijang Innova 2.0 Venturer MPV - AT","HARGA KHUSUS KREDIT TENOR 4 TAHUN TDP 80.000.000 Cicilan 8.795.000 x 47 Bulan Asuransi ...","Rp 350.000.000"
"","0 - 5K KM","Automatic","DKI Jakarta","Dealer","2025 KIA Grand Carnival 2.2 Premier 7 Seater MPV - Like Ne...","[ B GANJIL RRR ] Kia Grand Carnival Premiere 2.2 CRDi Diesel RSE 7 Seater AT Hitam NIK ...","Rp 745.000.000"
"Toyota Alphard","105 - 110K KM","Automatic","Jawa Timur","Dealer","2014 Toyota Alphard 2.4 G MPV - lokasi surabaya bisa kredi...","Harga tertera harga kredit Toyota Alphard G 2.4 ATPM AT 2014 Surat dokumen lengkap Siap ...","Rp 246.000.000"
"Toyota Voxy","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2024 Toyota Voxy 2.0 (Premium Color) MPV - km 17 ribuan   ...","Toyota Voxy 2.0 at 2024 putih Tangan pertama An pribadi Plat b genap Pajak panjang ...",""
